Place Name	Coordinates	Original Text
Soho, City of Westminster, London, Greater London, England, United Kingdom	(51.5131628, -0.1311754)	soho
Royal Bank of Scotland, Feltham, London Borough of Hounslow, London, Greater London, England, TW13 7QH, United Kingdom	(51.44027345, -0.404133119376528)	scotland
Europe Road, Royal Borough of Greenwich, London, Greater London, England, SE18 5QJ, United Kingdom	(51.4932696, 0.0553015)	europe
Paris, 17, Brixton Station Road, Stockwell, London Borough of Lambeth, London, Greater London, England, SW9 8QQ, United Kingdom	(51.46339705, -0.113663055448795)	paris
Caterham Sea Cadets & Royal Marines Cadets, Caterham-on-the-Hill, Tandridge, Surrey, South East, England, United Kingdom	(51.294297, -0.10579591772903)	the north sea
Tottenham, London Borough of Haringey, London, Greater London, England, N17 9TR, United Kingdom	(51.5976955, -0.0672892)	tottenham
Elizabethan Way, Spelthorne, Surrey, South East, England, TW19 7QN, United Kingdom	(51.4516027, -0.4774945)	elizabethan
London, Greater London, England, SW1A 2DX, United Kingdom	(51.5073219, -0.1276474)	london
Bank of England, Threadneedle Street, City of London, Greater London, England, EC2R 8AH, United Kingdom	(51.51413225, -0.0889247672125546)	england
Nelson, Laxton Place, Somers Town, London Borough of Camden, London, Greater London, England, NW1 3HB, United Kingdom	(51.5263992, -0.1407333)	nelson
The North Pole, 189-190, New North Road, Saint Luke's, Canonbury, London Borough of Islington, London, Greater London, England, N1 7BJ, United Kingdom	(51.53747, -0.091168)	the north pole
Hampstead Heath, Hampstead, London Borough of Camden, London, Greater London, England, United Kingdom	(51.56398185, -0.167186669928485)	hampstead heath
Hampstead, Camden Town, London, Greater London, England, NW3 1EQ, United Kingdom	(51.5542879, -0.1740747)	hampstead
Cathay Pacific Cargo, Bedfont, London Borough of Hounslow, London, Greater London, England, TW19 7LE, United Kingdom	(51.4546814, -0.457090349171324)	pacific
Chesterton, Wilton Road, St. James's, Victoria, City of Westminster, London, Greater London, England, SW1V 1HN, United Kingdom	(51.4938956, -0.1418512)	g. k. chesterton
Brown, Shipley & Co., Founders Court, City of London, Greater London, England, EC2R 7HH, United Kingdom	(51.51502485, -0.0891880171025328)	brown
Brussels Wharf, Shadwell, London Borough of Tower Hamlets, London, Greater London, England, United Kingdom	(51.50795235, -0.0517162585029815)	brussels
Essex, M25, Waltham Abbey, Epping Forest, Essex, East of England, England, EN9 1JU, United Kingdom	(51.6807268, -0.0043576)	essex
EartH, 11-17, Stoke Newington Road, South Hornsey, Shacklewell, London Borough of Hackney, London, Greater London, England, N16 8BH, United Kingdom	(51.5510883, -0.0756502774380332)	earth
Williams, Artillery Lane, Spitalfields, London Borough of Tower Hamlets, City of London, Greater London, England, E1 7HA, United Kingdom	(51.5184112, -0.0784692)	williams
Essex, M25, Waltham Abbey, Epping Forest, Essex, East of England, England, EN9 1JU, United Kingdom	(51.6807268, -0.0043576)	essex village
London, Greater London, England, SW1A 2DX, United Kingdom	(51.5073219, -0.1276474)	north london
Holland Park, Silchester Estate, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, United Kingdom	(51.50301195, -0.204147613795753)	holland
Victoria, Wilton Road, St. James's, Victoria, City of Westminster, London, Greater London, England, SW1V 1AP, United Kingdom	(51.4963688, -0.1431522)	victoria
Williamson Street Estate, Holloway, London Borough of Islington, London, Greater London, England, United Kingdom	(51.55594685, -0.120714428814749)	williamson
Petty France, St. James's, Victoria, City of Westminster, London, Greater London, England, SW1, United Kingdom	(51.4996438, -0.1347138)	france
Hartlepool Court, Galleons Point, North Woolwich, London Borough of Newham, London, Greater London, England, E16 2RL, United Kingdom	(51.5010285, 0.0723102)	hartlepool
