Place Name	Coordinates
Greenwich Park, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, United Kingdom	(51.47722835, 0.00092473393014189)
Whitehall, City of Westminster, London, Greater London, England, SW1A 2NH, United Kingdom	(51.5023278, -0.1260826)
Lewisham, London, Greater London, England, SE13 6BB, United Kingdom	(51.4624325, -0.0101331)
Green Park, Piccadilly, St. James's, Mayfair, City of Westminster, London, Greater London, England, W1J 8EU, United Kingdom	(51.5066192, -0.1429113)
Kids Aloud Day Care Nursery, St Mary's Road, Temple Mills, London Borough of Waltham Forest, London, Greater London, England, E10, United Kingdom	(51.55991915, -0.00814700415048746)
Ethelred Estate, Vauxhall, London Borough of Lambeth, London, Greater London, England, United Kingdom	(51.49205105, -0.114792931426394)
Tottenham, London Borough of Haringey, London, Greater London, England, N17 9TR, United Kingdom	(51.5976955, -0.0672892)
Greenwich, London, Greater London, England, SE10 9HF, United Kingdom	(51.4820845, -0.0045417)
London, Greater London, England, SW1A 2DX, United Kingdom	(51.5073219, -0.1276474)
Knightsbridge, City of Westminster, London, Greater London, England, SW7 1JY, United Kingdom	(51.5008444, -0.166965)
